L 08/13/2021 - 00:02:32: SourceMod log file session started (file "/home/k26606_s20329/server_20329/left4dead2/addons/sourcemod/logs/L20210813.log") (Version "1.10.0.6494")
L 08/13/2021 - 00:02:32: [optional/l4d2lib.smx] [MI] MapInfo for dm1_suburbs is missing.
L 08/13/2021 - 00:02:32: [confoglcompmod.smx] [MI] MapInfo for dm1_suburbs is missing.
L 08/13/2021 - 14:08:21: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 14:08:21: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 14:08:21: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 14:08:21: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 14:08:21: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 14:08:21: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 14:08:21: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 14:08:24: -------- Mapchange to c1m1_hotel --------
L 08/13/2021 - 14:08:24: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 14:08:24: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 14:08:24: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 14:08:24: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 14:08:24: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 14:08:24: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 14:08:24: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 14:08:24: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "confogl_match_execcfg_plugins") (value "generalfixes.cfg;confogl_plugins.cfg;sharedplugins.cfg")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "67000")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.03")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "2")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "200")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mv_maxplayers") (value "16")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxplayers") (value "16")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allowdownload") (value "1")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_joininfected") (value "1")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_joinsurvivors") (value "1")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_kill") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_spectate") (value "1")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_message") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_timerrepeat") (value "9999")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "vs_max_team_switches") (value "9999")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mp_autoteambalance") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_unlag_fixstuck") (value "1")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_brawl_chance") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "1")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_predict") (value "1")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_cmdrate_difference") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec_global") (value "10")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec") (value "3")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_window") (value "10")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_player_stuck_tolerance") (value "5")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_stats") (value "0")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_clockcorrection_msecs") (value "25")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_max_neighbor_range") (value "16")
L 08/13/2021 - 14:08:25: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_friction_forward") (value "0")
L 08/13/2021 - 16:37:30: -------- Mapchange to c1m1_hotel --------
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "confogl_match_execcfg_plugins") (value "generalfixes.cfg;confogl_plugins.cfg;sharedplugins.cfg")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "67000")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.03")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "2")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "200")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mv_maxplayers") (value "16")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxplayers") (value "16")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allowdownload") (value "1")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_joininfected") (value "1")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_joinsurvivors") (value "1")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_kill") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_spectate") (value "1")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_message") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_timerrepeat") (value "9999")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "vs_max_team_switches") (value "9999")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mp_autoteambalance") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_unlag_fixstuck") (value "1")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_brawl_chance") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "1")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_predict") (value "1")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_cmdrate_difference") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec_global") (value "10")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec") (value "3")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_window") (value "10")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_player_stuck_tolerance") (value "5")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_stats") (value "0")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_clockcorrection_msecs") (value "25")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_max_neighbor_range") (value "16")
L 08/13/2021 - 16:37:30: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_friction_forward") (value "0")
L 08/13/2021 - 16:42:36: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 6 from 5: time: 2.20 / -1.00 -- class: jockey (with shove? 0)
L 08/13/2021 - 16:43:03: [optional/kether/l4d2_skill_detect.smx] Charge carry start: 2 - 4 -- time: 333.46
L 08/13/2021 - 16:43:04: [optional/kether/l4d2_skill_detect.smx] Clear: 6 freed 6 from 7: time: -1.00 / 0.07 -- class: smoker (with shove? 0)
L 08/13/2021 - 16:43:05: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 4 from 2: time: 0.74 / 1.82 -- class: charger (with shove? 0)
L 08/13/2021 - 16:43:06: [optional/kether/l4d2_skill_detect.smx] Checking charge victim: 2 - 4 - flags: 1 (alive? 1)
L 08/13/2021 - 16:43:07: [optional/kether/l4d2_skill_detect.smx] Checking charge victim: 2 - 1 - flags: 0 (alive? 1)
L 08/13/2021 - 16:43:27: [optional/kether/l4d2_skill_detect.smx] Clear: 4 freed 1 from 9: time: 0.95 / -1.00 -- class: jockey (with shove? 0)
L 08/13/2021 - 16:43:43: [optional/kether/l4d2_skill_detect.smx] Clear: 6 freed 4 from 2: time: 0.40 / -1.00 -- class: hunter (with shove? 1)
L 08/13/2021 - 16:43:44: [optional/kether/l4d2_skill_detect.smx] Clear: 6 freed 4 from 2: time: 1.16 / -1.00 -- class: hunter (with shove? 0)
L 08/13/2021 - 16:43:48: [optional/kether/l4d2_skill_detect.smx] Clear: 4 freed 3 from 5: time: 1.34 / 3.61 -- class: smoker (with shove? 1)
L 08/13/2021 - 16:44:03: [optional/kether/l4d2_skill_detect.smx] Witch Crown Check: crown shot: 496, harrassed: 1 (full health: 1000 / drawthresh: 500 / oneshot 0)
L 08/13/2021 - 16:44:25: [optional/kether/l4d2_skill_detect.smx] Clear: 6 freed 1 from 2: time: 2.58 / -1.00 -- class: jockey (with shove? 0)
L 08/13/2021 - 16:44:26: [optional/kether/l4d2_skill_detect.smx] Clear: 1 freed 3 from 5: time: 0.85 / -1.00 -- class: hunter (with shove? 0)
L 08/13/2021 - 16:45:04: [optional/kether/l4d2_skill_detect.smx] Charge carry start: 7 - 4 -- time: 453.94
L 08/13/2021 - 16:45:06: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 4 from 7: time: 0.11 / 1.98 -- class: charger (with shove? 0)
L 08/13/2021 - 16:45:08: [optional/kether/l4d2_skill_detect.smx] Checking charge victim: 7 - 4 - flags: 1 (alive? 1)
L 08/13/2021 - 16:45:53: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 4 from 2: time: 0.26 / 503.47 -- class: charger (with shove? 0)
L 08/13/2021 - 16:45:56: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 1 from 7: time: 1.40 / -1.00 -- class: jockey (with shove? 0)
L 08/13/2021 - 16:45:58: [optional/kether/l4d2_skill_detect.smx] Clear: 1 freed 3 from 5: time: -1.00 / 0.71 -- class: smoker (with shove? 1)
L 08/13/2021 - 16:46:28: [optional/kether/l4d2_skill_detect.smx] Clear: 1 freed 3 from 2: time: -1.00 / 1.82 -- class: smoker (with shove? 0)
L 08/13/2021 - 16:46:31: [optional/kether/l4d2_skill_detect.smx] Clear: 6 freed 4 from 9: time: 1.58 / -1.00 -- class: hunter (with shove? 0)
L 08/13/2021 - 16:46:57: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 1 from 7: time: 1.59 / -1.00 -- class: jockey (with shove? 1)
L 08/13/2021 - 16:47:15: [optional/kether/l4d2_skill_detect.smx] Charge carry start: 9 - 3 -- time: 584.98
L 08/13/2021 - 16:47:18: [optional/kether/l4d2_skill_detect.smx] Clear: 1 freed 3 from 9: time: 1.73 / 3.00 -- class: charger (with shove? 0)
L 08/13/2021 - 16:47:18: [optional/kether/l4d2_skill_detect.smx] Checking charge victim: 9 - 3 - flags: 1 (alive? 1)
L 08/13/2021 - 16:50:36: [optional/kether/l4d2_skill_detect.smx] Charge carry start: 3 - 7 -- time: 786.23
L 08/13/2021 - 16:50:39: [optional/kether/l4d2_skill_detect.smx] Clear: 2 freed 7 from 3: time: 0.92 / 2.29 -- class: charger (with shove? 0)
L 08/13/2021 - 16:50:40: [optional/kether/l4d2_skill_detect.smx] Checking charge victim: 3 - 7 - flags: 1 (alive? 1)
L 08/13/2021 - 16:50:40: [optional/kether/l4d2_skill_detect.smx] Checking charge victim: 3 - 9 - flags: 0 (alive? 1)
L 08/13/2021 - 16:50:44: [optional/kether/l4d2_skill_detect.smx] Clear: 2 freed 9 from 4: time: 2.80 / -1.00 -- class: jockey (with shove? 0)
L 08/13/2021 - 16:51:16: [optional/kether/l4d2_skill_detect.smx] Clear: 5 freed 7 from 1: time: 0.73 / -1.00 -- class: jockey (with shove? 0)
L 08/13/2021 - 16:51:41: [optional/kether/l4d2_skill_detect.smx] Clear: 0 freed 9 from 4: time: -1.00 / 851.31 -- class: charger (with shove? 0)
L 08/13/2021 - 16:52:03: [optional/kether/l4d2_skill_detect.smx] Clear: 5 freed 2 from 6: time: 2.38 / 4.28 -- class: smoker (with shove? 1)
L 08/13/2021 - 16:52:55: [optional/kether/l4d2_skill_detect.smx] Witch Crown Check: Failed: bungled: 1 / crowntype: 1 (entity: 301)
L 08/13/2021 - 16:52:55: [optional/kether/l4d2_skill_detect.smx] Witch Crown Check: Further details: attacker: ǝɔɐɟlloɹʇ ♥, attacker dmg: 208, teamless dmg: 8
L 08/13/2021 - 16:52:56: [optional/kether/l4d2_skill_detect.smx] Clear: 7 freed 9 from 6: time: 4.79 / 7.20 -- class: smoker (with shove? 1)
L 08/13/2021 - 16:52:58: [optional/kether/l4d2_skill_detect.smx] Clear: 2 freed 5 from 3: time: 1.97 / -1.00 -- class: hunter (with shove? 0)
L 08/13/2021 - 16:53:26: [optional/kether/l4d2_skill_detect.smx] Clear: 5 freed 2 from 6: time: 1.85 / -1.00 -- class: jockey (with shove? 0)
L 08/13/2021 - 16:54:01: -------- Mapchange to c1m2_streets --------
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "30000")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "confogl_match_execcfg_plugins") (value "generalfixes.cfg;confogl_plugins.cfg;sharedplugins.cfg")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "67000")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "67000")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "67")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "67")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "67")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "67")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.03")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "33500")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "2")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "200")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mv_maxplayers") (value "16")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxplayers") (value "16")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allowdownload") (value "1")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_joininfected") (value "1")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_joinsurvivors") (value "1")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_kill") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_spectate") (value "1")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_message") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_nth_timerrepeat") (value "9999")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "vs_max_team_switches") (value "9999")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mp_autoteambalance") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_unlag_fixstuck") (value "1")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_brawl_chance") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "1")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_predict") (value "1")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_cmdrate_difference") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec_global") (value "10")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec") (value "3")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_window") (value "10")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_player_stuck_tolerance") (value "5")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_stats") (value "0")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_clockcorrection_msecs") (value "25")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_max_neighbor_range") (value "16")
L 08/13/2021 - 16:54:02: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_friction_forward") (value "0")
L 08/13/2021 - 16:56:08: [optional/kether/l4d2_skill_detect.smx] Clear: 6 freed 4 from 5: time: 1.16 / -1.00 -- class: hunter (with shove? 0)
L 08/13/2021 - 16:56:11: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 4 from 7: time: 1.40 / -1.00 -- class: jockey (with shove? 0)
L 08/13/2021 - 16:56:52: [optional/kether/l4d2_skill_detect.smx] Clear: 4 freed 3 from 2: time: 1.65 / -1.00 -- class: hunter (with shove? 1)
L 08/13/2021 - 16:56:55: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 4 from 2: time: 0.92 / -1.00 -- class: hunter (with shove? 0)
L 08/13/2021 - 16:56:57: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 1 from 5: time: 5.08 / 175.14 -- class: charger (with shove? 0)
L 08/13/2021 - 16:57:39: [optional/kether/l4d2_skill_detect.smx] Clear: 3 freed 1 from 7: time: 3.67 / -1.00 -- class: hunter (with shove? 0)
L 08/13/2021 - 16:57:39: [optional/kether/l4d2_skill_detect.smx] Clear: 4 freed 6 from 2: time: 6.47 / -1.00 -- class: jockey (with shove? 1)
L 08/13/2021 - 16:59:06: [optional/kether/l4d2_skill_detect.smx] Clear: 4 freed 3 from 2: time: 2.79 / 5.88 -- class: smoker (with shove? 1)
L 08/13/2021 - 16:59:36: [optional/kether/l4d2_skill_detect.smx] Clear: 6 freed 1 from 9: time: 3.07 / -1.00 -- class: hunter (with shove? 0)
L 08/13/2021 - 17:00:14: [optional/kether/l4d2_skill_detect.smx] Clear: 1 freed 6 from 9: time: 2.00 / -1.00 -- class: jockey (with shove? 0)
